Type: light | Measure: 15.62 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: humidity | Measure: 0.0 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 0.0 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 1060.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 0.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 74.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: -23.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 0.0 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.08 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 939.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.19 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.22 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.08 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 939.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.19 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.22 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.08 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 939.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.19 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.22 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.89 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 42.62 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 50.76 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.89 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 42.62 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 50.76 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.08 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 939.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.19 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.22 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.38 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 943.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.73 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 54.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.23 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.34 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 967.2 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.91 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 42.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.23 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.13 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 928.2 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 27.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 23.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.76 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.34 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 967.2 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.55 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 42.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.23 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.17 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 936.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 27.09 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 11.7 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 23.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.24 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.25 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.37 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 3.9 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 46.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 53.72 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.13 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 924.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 26.91 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 23.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.76 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 22.86 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 1154.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 47.39 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 27.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: -15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 56.44 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: humidity | Measure: 54.71 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.13 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: light | Measure: 48.02 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: humidity | Measure: 54.24 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.13 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 920.4 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 48.06 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 27.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.24 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.22 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 924.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 50.49 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 39.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.24 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.16 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 47.16 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 46.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.21 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.25 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 1189.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 47.79 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 39.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: -19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 52.52 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.16 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 47.16 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 46.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.21 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 22.65 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 924.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 42.75 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: -7.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 19.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 52.71 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: temperature | Measure: 23.16 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 963.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 47.16 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 46.8 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.21 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
Type: accel_z | Measure: 955.5 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: accel_x | Measure: 15.6 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 39.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: temperature | Measure: 23.22 | Max th: {u'msg': u'Max threshold (OpenMote) (temperature)', u'val': 125} | Min th: {u'msg': u'Min threshold (OpenMote) (temperature)', u'val': -40}
Type: accel_z | Measure: 924.3 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_z)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_z)', u'val': -16000}
Type: light | Measure: 50.49 | Max th: {u'msg': u'Max threshold (OpenMote) (light)', u'val': 188000} | Min th: {u'msg': u'Min threshold (OpenMote) (light)', u'val': 0.045}
Type: accel_x | Measure: 39.0 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_x)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_x)', u'val': -16000}
Type: accel_y | Measure: 35.1 | Max th: {u'msg': u'Max threshold (OpenMote) (accel_y)', u'val': 16000} | Min th: {u'msg': u'Min threshold (OpenMote) (accel_y)', u'val': -16000}
Type: humidity | Measure: 54.24 | Max th: {u'msg': u'Max threshold (OpenMote) (humidity)', u'val': 100} | Min th: {u'msg': u'Min threshold (OpenMote) (humidity)', u'val': 0}
